timestamp,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,408-A,408-B,409-A,409-B,410-A,410-B
0,24.007908,21.962883,0.90924776,26.476353,24.302647,24.91103,24.606838,24.605,24.757095,26.660439,26.35738,26.35738,26.66157,26.09101,25.78682,24.950907,25.255098,24.621302,24.621302,25.001873,25.001873,25.001873,25.001873,25.001873,25.001873,25.153969,25.153969,26.489202,26.489202,26.489202,26.489202,26.793392,26.676722,26.524626,26.446331,26.60108,26.60108,26.605576,26.445961,26.137705,26.439888,26.135698,26.135199,26.126768,26.410704,26.391727,26.042978,26.34717,26.195074,26.195074,26.195074,26.195074,26.195074,26.34717,26.042978,26.65136,25.7565,25.7565,25.7565,25.7565,24.358328,24.359982,24.360016,25.623564,25.680992,24.2341,24.234137,24.842833,22.900174059392118,23.116189585865477,21.429231626161503,25.13555,25.141788,25.14684,24.571041,24.876251,24.882605,24.600803,24.952318,24.80104,24.505222,24.509624,24.647459,24.731102,24.731901,24.734388,25.827257,25.82267,25.820518,25.814503,25.814835,26.660902,26.061972,25.907501,25.753492,25.753214,26.056143,26.35521,26.35521,26.355337,26.355246,26.35673,26.05384,25.92033,26.072407,25.505075,25.630566,25.200497,25.209242,25.20965,25.505075,25.219841,26.357843,26.058222,24.79098,24.779486,24.9202,24.771261,24.912067,24.901745,24.600489,24.60229,24.602774,24.606838,24.8021,24.803028,24.651285,24.653234,24.647219,24.517534,24.655891,24.914185,24.932083,24.940697,24.791851,25.247952,25.684053,24.787691,25.124557,25.125301,25.44195,24.834684,24.245705,24.788322,25.380236,24.998253,24.690144,24.84287,24.994686,24.842964,25.250847,25.247635,26.68619,25.537752,25.280405,25.309685,24.469055,23.642189,23.971054,24.203077,24.646292,24.646645,24.62648,24.660326,24.634668,24.576092,24.576351,24.611942,24.609344,24.612093,24.614727,24.61937,24.381945,24.632217,24.561499,26.641724,26.636526,24.858114,24.858187,24.858599,24.853472,24.853659,24.853899,24.85633,24.856794,24.559439,24.863295,24.55851,24.560217,24.561666,25.155418,25.161526,24.86363,24.863295,24.863276,24.863535,24.559717,24.560032,24.560776,24.562168,24.563873,25.616215,25.671412,27.248472,27.24899,27.248861,26.516699,26.516718,26.516754,26.507711,26.51306,26.517366,26.365475,26.50554,26.648462,26.65043,26.650803,26.650803,26.499989,26.502031,26.49802,26.205454,25.81554,26.121067,26.119007,26.119917,26.273775,26.268131,26.257809,26.39715,26.3838,25.962605,26.020422,25.992943,26.135029,26.131523,25.9886,26.000927,26.001074,25.988802,26.13245,26.14229,26.193624,26.035664,26.105585,26.106234,26.394848,26.395535,26.396591,26.709917,26.56224,26.486696,25.800781,26.262096,26.711737,26.60964,26.368578,26.547035,26.197096,26.50413,26.597443,26.19693,26.196224,26.196949,26.504425,26.542728,26.239223,26.364882,26.355022,26.363396,26.268671,26.25805,26.397633,26.384079,26.372122,26.120995,26.273088,26.273108,26.412449,26.398727,26.385714,26.377115,26.380308,26.386028,26.400585,26.26193,26.097971,26.098232,26.09944,26.236439,26.240635,26.112638,26.251886,26.11344,26.150366,26.085123,26.086145,26.092884,26.104155,26.118006,26.226786,26.23668,26.245184,26.260519,26.19459,26.133154,26.2012,26.301588,26.30239,26.26609,26.366068,26.783514,26.632013,26.634872,26.59709,26.266962,26.335472,26.367441,26.427448,26.480494,26.249527,25.93832,25.938915,25.93938,26.250233,26.253984,26.314342,26.311504,26.302294,26.25536,26.25391,26.385435,26.41735,26.103876,26.104286,26.104097,26.10449,26.106346,26.109558,26.106253,26.105103,26.10722,26.110262,26.261133,26.27194,26.25651,26.25651,25.954287,25.956293,25.813593,26.114643,25.903526,25.951523,25.957052,25.81517,25.83433,26.01723,26.321623,26.321957,26.324295,25.984829,25.679396,25.67921,25.985184,25.66467,25.969475,25.967451,25.987354,26.195444,24.897808,24.898329,25.181522,25.182001,25.183062,24.890402,0.90880215,21.96333,0.90880215,21.96333,0.90880215,21.96333
3600,24.153206,22.104841,0.90937775,26.648687,24.458733,25.067114,24.762924,24.761179,24.913275,26.818176,26.515121,26.515121,26.819311,26.248415,25.944223,25.106867,25.411055,24.779505,24.779505,25.163473,25.163473,25.163473,25.163473,25.163473,25.163473,25.315569,25.315569,26.679691,26.679691,26.679691,26.679691,26.983883,26.864443,26.71235,26.640293,26.794838,26.794838,26.79896,26.639942,26.332018,26.63437,26.330181,26.329735,26.321974,26.607561,26.590128,26.296206,26.600393,26.4483,26.4483,26.4483,26.4483,26.4483,26.600393,26.296206,26.904585,26.00902,26.00902,26.00902,26.00902,24.51213,24.513802,24.51384,25.792706,25.847178,24.396408,24.396442,25.005123,22.379394272453908,21.361549372349906,22.676963475056343,25.297394,25.30363,25.308552,24.731493,25.036667,25.042738,24.759935,25.102205,24.950926,24.654963,24.659103,24.797365,24.882605,24.8834,24.885853,25.984142,25.979538,25.977385,25.97133,25.971647,26.81864,26.219505,26.065054,25.91114,25.91086,26.213825,26.512947,26.512947,26.513079,26.512985,26.514452,26.211542,26.07768,26.229774,25.661812,25.787674,25.357197,25.365662,25.36607,25.661795,25.375854,26.515547,26.215904,24.945894,24.934832,25.07597,24.9269,25.068043,25.058203,24.756817,24.75856,24.759026,24.762924,24.951115,24.952023,24.800299,24.80223,24.796436,24.671318,24.810177,25.070179,25.087406,25.095707,24.94675,25.402905,25.834627,24.937727,25.273163,25.273869,25.590202,24.98286,24.393343,24.938337,25.530807,25.151907,24.8438,24.996525,25.148342,24.996618,25.405838,25.40283,26.846918,25.694656,25.43525,25.463282,24.619797,23.789679,24.117895,24.352999,24.8034,24.803734,24.78437,24.816822,24.792149,24.736227,24.736467,24.770313,24.767883,24.770462,24.772987,24.777758,24.537344,24.789938,24.722488,26.805014,26.800077,25.01925,25.019344,25.019753,25.014683,25.014887,25.01511,25.01747,25.017933,24.720446,25.02432,24.719574,24.721205,24.72269,25.316961,25.322773,25.0246,25.024282,25.024282,25.024542,24.720724,24.721039,24.721764,24.723156,24.724846,25.785742,25.83812,27.502254,27.502737,27.502605,26.769255,26.769255,26.769312,26.760622,26.765764,26.769905,26.618013,26.758524,26.901855,26.903713,26.904064,26.904064,26.753195,26.755127,26.75082,26.491783,26.067524,26.37307,26.370972,26.37188,26.52574,26.520002,26.509588,26.649038,26.635874,26.214754,26.272514,26.244923,26.386919,26.383392,26.240597,26.253,26.25315,26.2408,26.384321,26.39418,26.445663,26.28785,26.296818,26.297447,26.586246,26.586933,26.587994,26.901207,26.74733,26.674826,25.992052,26.453125,26.903044,26.791906,26.54709,26.733051,26.386492,26.69341,26.79148,26.386345,26.385675,26.386362,26.693747,26.729095,26.425575,26.617401,26.607822,26.61599,26.520523,26.50981,26.649504,26.636152,26.624475,26.372662,26.524776,26.52483,26.664076,26.650522,26.637695,26.629303,26.632347,26.637936,26.652231,26.51343,26.348894,26.34912,26.350306,26.488125,26.49221,26.36384,26.503239,26.363619,26.398449,26.33668,26.3377,26.344198,26.355133,26.368578,26.469725,26.478916,26.486862,26.501232,26.419687,26.362339,26.426003,26.520096,26.520857,26.477411,26.571247,26.964165,26.812628,26.815355,26.7798,26.478249,26.542599,26.57262,26.629118,26.670206,26.43484,26.124298,26.124876,26.125284,26.435507,26.43924,26.49594,26.493044,26.484503,26.440409,26.438889,26.562872,26.59295,26.279663,26.280052,26.279884,26.280237,26.282019,26.285158,26.281927,26.280813,26.282856,26.28579,26.445162,26.455484,26.44093,26.440874,26.138391,26.139988,25.99647,26.289928,26.081764,26.135662,26.14071,25.998066,26.016058,26.197504,26.5019,26.502235,26.5045,26.16652,25.861084,25.860916,26.166834,25.846899,26.151667,26.149734,26.168913,26.366646,25.071218,25.07172,25.35543,25.35597,25.356972,25.064034,0.90895075,22.10527,0.90895075,22.10527,0.90895075,22.10527
7200,24.367908,22.314325,0.90958196,26.900406,24.692614,25.300995,24.996803,24.995022,25.147118,27.055008,26.751915,26.751915,27.056107,26.483631,26.17944,25.33848,25.64267,25.013403,25.013403,25.402256,25.402256,25.402256,25.402256,25.402256,25.402256,25.554352,25.554352,26.9453,26.9453,26.9453,26.9453,27.24949,27.129313,26.977217,26.90674,27.06121,27.06121,27.06526,26.906385,26.598537,26.900946,26.596756,26.59631,26.588717,26.874714,26.857668,26.607244,26.911436,26.75934,26.75934,26.75934,26.75934,26.75934,26.911436,26.607244,27.215626,26.317947,26.317947,26.317947,26.317947,24.74215,24.74384,24.743858,26.040657,26.091215,24.63571,24.635746,25.244404,23.14817571647278,21.925024670501607,21.74002536379364,25.536638,25.542877,25.54763,24.968752,25.273777,25.27944,24.995188,25.324072,25.172794,24.87644,24.880226,25.019306,25.10861,25.109407,25.11171,26.217875,26.213455,26.211432,26.205656,26.205936,27.055473,26.456005,26.301645,26.147896,26.147655,26.450657,26.749779,26.749779,26.749928,26.749855,26.75132,26.448393,26.313787,26.465864,25.896305,26.02315,25.591707,25.599985,25.60032,25.896305,25.609436,26.752361,26.452438,25.17777,25.167429,25.309332,25.160004,25.301626,25.292454,24.990976,24.992739,24.993128,24.996803,25.172403,25.173332,25.021591,25.023539,25.018099,24.901243,25.040974,25.303762,25.319914,25.327581,25.1784,25.634556,26.05809,25.160484,25.49375,25.494345,25.8101,25.20263,24.611998,25.161005,25.754198,25.380198,25.07209,25.22482,25.376616,25.224892,25.63734,25.634575,27.084623,25.927664,25.665245,25.691406,24.84341,24.008074,24.334915,24.574608,25.0357,25.035978,25.01784,25.048178,25.02495,24.972946,24.973206,25.004454,25.002243,25.004564,25.006905,25.011713,24.767046,25.023111,24.960321,27.045855,27.04125,25.257643,25.257792,25.258125,25.25326,25.253502,25.253706,25.255842,25.256306,24.958372,25.262321,24.957666,24.959097,24.960543,25.55565,25.561089,25.262545,25.262266,25.262266,25.262506,24.95867,24.958965,24.959633,24.960955,24.962513,26.034214,26.082766,27.814798,27.815226,27.815115,27.078346,27.078365,27.078402,27.070717,27.075285,27.078941,26.92703,27.068861,27.213305,27.214865,27.215181,27.215181,27.064127,27.065796,27.060598,26.751637,26.370895,26.67646,26.674362,26.675272,26.829058,26.824064,26.814741,26.955458,26.943314,26.503107,26.570187,26.545364,26.688715,26.685371,26.541334,26.552458,26.552586,26.54152,26.6863,26.695415,26.741611,26.568703,26.577206,26.577724,26.866968,26.867655,26.868715,27.181633,27.011044,26.946861,26.272514,26.732922,27.183434,27.053116,26.804886,26.997437,26.652046,26.958706,27.057926,26.651934,26.65136,26.651953,26.958986,26.99337,26.689754,26.926325,26.917618,26.925156,26.824509,26.81493,26.955847,26.943556,26.9329,26.676237,26.828333,26.828371,26.9691,26.956793,26.944986,26.937336,26.940102,26.945152,26.958483,26.818512,26.655945,26.656149,26.657263,26.795397,26.799183,26.669035,26.809488,26.669964,26.704014,26.643822,26.644842,26.651136,26.661385,26.674105,26.774267,26.783514,26.791294,26.805109,26.717772,26.66157,26.723211,26.813295,26.813944,26.7653,26.853897,27.225187,27.073574,27.075933,27.041883,26.766024,26.826921,26.855291,26.908615,26.93845,26.699186,26.388775,26.389277,26.389685,26.699762,26.702991,26.756704,26.75429,26.746103,26.704237,26.702938,26.81998,26.848274,26.536322,26.536657,26.536526,26.536842,26.538383,26.541187,26.538326,26.537308,26.539183,26.541836,26.70925,26.71896,26.70507,26.705051,26.402609,26.404484,26.26067,26.545717,26.341394,26.399899,26.405096,26.262247,26.279772,26.459179,26.76363,26.763906,26.765987,26.430645,26.125284,26.125134,26.430977,26.1129,26.417593,26.41594,26.433,26.616568,25.327507,25.328009,25.61328,25.613947,25.614822,25.321026,0.9091921,22.314734,0.9091921,22.314734,0.9091921,22.314734
10800,24.495161,22.43831,0.9097119,27.054174,24.830448,25.438831,25.13464,25.132914,25.28501,27.194462,26.891348,26.891348,27.195538,26.62275,26.318558,25.476225,25.780415,25.153318,25.153318,25.545494,25.545494,25.545494,25.545494,25.545494,25.545494,25.697588,25.697588,27.117132,27.117132,27.117132,27.117132,27.421324,27.29834,27.146244,27.082079,27.236347,27.236347,27.240005,27.081764,26.77425,27.076824,26.772635,26.772226,26.765337,27.052984,27.037502,26.841793,27.145985,26.993889,26.993889,26.993889,26.993889,26.993889,27.145985,26.841793,27.450174,26.551844,26.551844,26.551844,26.551844,24.877739,24.87941,24.879448,26.191288,26.238964,24.779633,24.77967,25.388332,21.9048303300539,22.529653277648972,21.942202089408276,25.680101,25.68632,25.690962,25.110857,25.415844,25.42123,25.135996,25.45582,25.30454,25.008038,25.011585,25.151073,25.241936,25.242752,25.245016,26.356506,26.352072,26.350029,26.344198,26.34446,27.194923,26.595253,26.44093,26.287256,26.286997,26.590055,26.889212,26.88923,26.889381,26.889305,26.890736,26.587807,26.452868,26.604944,26.034754,26.161953,25.730137,25.738138,25.738455,26.034735,25.74718,26.891775,26.591818,25.314436,25.304504,25.446833,25.297356,25.439333,25.430624,25.129015,25.130722,25.131096,25.13464,25.303316,25.304226,25.152481,25.154432,25.149197,25.036795,25.177046,25.44147,25.45699,25.464342,25.315067,25.771242,26.190506,25.292362,25.624235,25.62481,25.940252,25.332724,24.741556,25.292843,25.886595,25.51566,25.20755,25.360277,25.512093,25.36037,25.774082,25.771538,27.227045,26.066334,25.801876,25.82681,24.976028,24.137482,24.46371,24.70639,25.17452,25.174799,25.15744,25.186403,25.16416,25.114737,25.114998,25.144537,25.142475,25.14465,25.146875,25.151814,24.904213,25.162544,25.10295,27.190748,27.186403,25.400417,25.400583,25.4009,25.39611,25.396353,25.396557,25.398617,25.399082,25.101017,25.404966,25.100367,25.101723,25.103207,25.698814,25.703976,25.40517,25.40491,25.40491,25.405151,25.101334,25.10161,25.102282,25.103579,25.105139,26.185234,26.230999,28.04983,28.050238,28.050144,27.312283,27.312283,27.31232,27.304968,27.30935,27.31286,27.16093,27.303186,27.447985,27.449469,27.449749,27.449749,27.298637,27.300215,27.294758,27.020811,26.604368,26.909933,26.907835,26.908745,27.062511,27.057405,27.047955,27.18876,27.176786,26.737097,26.8039,26.77889,26.922132,26.91877,26.774883,26.786112,26.786224,26.77505,26.919697,26.92885,26.975323,26.802896,26.749296,26.749817,27.039246,27.039932,27.040993,27.353817,27.177418,27.116076,26.444641,26.904844,27.355618,27.216684,26.964758,27.164755,26.82278,27.129332,27.233358,26.822672,26.822132,26.82269,27.129648,27.161058,26.857409,27.160225,27.151777,27.15913,27.05783,27.04814,27.189133,27.17701,27.16663,26.909374,27.061508,27.061563,27.202166,27.190004,27.178364,27.170918,27.173536,27.178474,27.191545,27.051426,26.88823,26.888433,26.88951,27.028477,27.032173,26.90167,27.042273,26.901524,26.933437,26.876774,26.877794,26.883848,26.89376,26.90607,26.998419,27.00694,27.014145,27.026993,26.923857,26.871815,26.92902,27.01281,27.01342,26.95765,27.040174,27.387123,27.235474,27.237722,27.205915,26.958336,27.015112,27.041548,27.0914,27.10939,26.865782,26.556059,26.556522,26.556892,26.866339,26.86955,26.919624,26.917135,26.909616,26.870592,26.869217,26.978775,27.005253,26.693449,26.693766,26.693634,26.69395,26.695415,26.69813,26.695362,26.694378,26.696178,26.698723,26.874544,26.883791,26.870813,26.870682,26.567978,26.569408,26.424795,26.702341,26.500917,26.565287,26.569983,26.426373,26.44273,26.620726,26.925194,26.925453,26.927477,26.593544,26.2882,26.288054,26.59386,26.276283,26.580956,26.579378,26.595774,26.769255,25.482256,25.482758,25.768534,25.769236,25.770073,25.476002,0.9093406,22.438683,0.9093406,22.438683,0.9093406,22.438683
14400,24.479994,22.423552,0.9096934,27.044037,24.810139,25.41852,25.114328,25.112827,25.26492,27.173315,26.870256,26.870256,27.174446,26.60342,26.29923,25.459345,25.763536,25.13813,25.13813,25.530584,25.530584,25.530584,25.530584,25.530584,25.530584,25.68268,25.68268,27.127844,27.127844,27.127844,27.127844,27.432035,27.30376,27.151665,27.09955,27.25339,27.25339,27.256342,27.09929,26.792427,27.095297,26.79111,26.790773,26.785221,27.07608,27.063587,26.923506,27.227694,27.075598,27.075598,27.075598,27.075598,27.075598,27.227694,26.923506,27.531885,26.63528,26.63528,26.63528,26.63528,24.85817,24.85984,24.859879,26.17959,26.226582,24.765581,24.765617,25.374294,22.088205116215057,23.177637702727793,23.53827359882079,25.664968,25.67119,25.675776,25.095634,25.400715,25.40608,25.12081,25.440058,25.288778,24.992554,24.996042,25.135271,25.223389,25.224186,25.226562,26.338406,26.333614,26.331312,26.324926,26.325224,27.173798,26.574123,26.419744,26.265942,26.265701,26.568722,26.868048,26.868048,26.868195,26.868101,26.869513,26.56653,26.432,26.584095,26.014944,26.141472,25.710234,25.717937,25.718292,26.014925,25.727184,26.870554,26.571005,25.29459,25.28447,25.426579,25.277212,25.419226,25.410555,25.108795,25.110355,25.110783,25.114328,25.286366,25.287275,25.13553,25.137482,25.132133,25.017303,25.157385,25.42134,25.437067,25.444662,25.295519,25.751766,26.173834,25.275503,25.607489,25.608137,25.923727,25.316313,24.725605,25.27606,25.86996,25.498652,25.190544,25.34327,25.495085,25.343363,25.754961,25.752563,27.211784,26.049515,25.784945,25.809954,24.95958,24.121643,24.448523,24.691202,25.159298,25.15961,25.142197,25.171253,25.149012,25.099625,25.099865,25.129385,25.127325,25.129517,25.131819,25.136961,24.889101,25.14736,25.088058,27.176527,27.172312,25.385008,25.385138,25.38551,25.380533,25.380756,25.38098,25.383224,25.38369,25.086016,25.38989,25.085217,25.086794,25.088354,25.683887,25.688993,25.390114,25.389835,25.389835,25.390114,25.086292,25.086609,25.087353,25.088799,25.090565,26.17363,26.218857,28.130295,28.130758,28.13065,27.395517,27.395535,27.39557,27.38742,27.392267,27.396147,27.244255,27.385454,27.52934,27.531069,27.531384,27.531384,27.380423,27.382223,27.377487,27.226896,26.69588,27.001427,26.99933,27.00024,27.15406,27.14749,27.135792,27.274836,27.261578,26.854568,26.905437,26.87542,27.016075,27.012417,26.870962,26.884554,26.884682,26.871147,27.013346,27.02378,27.07961,26.933157,26.737675,26.738249,27.027477,27.028164,27.02922,27.342285,27.178383,27.110746,26.432943,26.893688,27.344181,27.214996,26.959654,27.166927,26.83099,27.137684,27.250978,26.830858,26.830246,26.830877,27.138166,27.1642,26.86062,27.243662,27.234491,27.242342,27.147972,27.136015,27.275244,27.261837,27.250494,26.999739,27.151924,27.152111,27.289873,27.27606,27.263193,27.255081,27.257772,27.263248,27.277287,27.138687,26.971128,26.97135,26.972502,27.112713,27.116611,26.988098,27.1274,26.983938,27.012383,26.960915,26.961937,26.96784,26.977997,26.990677,27.067263,27.074152,27.080334,27.091808,26.962215,26.917711,26.968082,27.043833,27.044538,26.980576,27.05733,27.381813,27.230219,27.23278,27.2038,26.981358,27.034048,27.058704,27.105453,27.113754,26.866375,26.558044,26.558565,26.558825,26.866987,26.870886,26.917044,26.913738,26.907166,26.871407,26.869474,26.972147,26.997156,26.68348,26.683832,26.683683,26.684036,26.685707,26.688753,26.685614,26.684538,26.686451,26.689142,26.872501,26.881617,26.869959,26.869253,26.56577,26.565733,26.419725,26.692614,26.492079,26.563023,26.5664,26.421322,26.435658,26.613503,26.917915,26.918213,26.920403,26.585707,26.280256,26.280107,26.585915,26.266611,26.571358,26.569555,26.587658,26.759378,25.467163,25.467665,25.752174,25.752768,25.753696,25.460331,0.9093221,22.423922,0.9093221,22.423922,0.9093221,22.423922
